Name,Team,Age,xwOBA,Spd,Barrel%,HardHit%,xBA,xSLG,NameASCII,PlayerId,MLBAMID
"Chris Taylor","LAA",34,0.30402340359157987,5.310405643738977,0.1,0.42,0.212219727345002,0.3683601526113657,"Chris Taylor",13757,621035
"Josh Smith","TEX",27,0.31045971328406025,4.931041714460175,0.05,0.31,0.24720217438361905,0.36648439106188324,"Josh Smith",26396,669701
"Steven Kwan","CLE",27,0.3099017697711324,4.600731383666753,0.01913043,0.19304348,0.2732123291015625,0.3664706787109375,"Steven Kwan",24610,680757
"Nick Loftin","KCR",26,0.293957515429425,4.1099497563968,0.0625,0.34027778,0.23195999967837763,0.36552239606480397,"Nick Loftin",27630,679845
"Nate Eaton","BOS",28,0.2925722786549772,6.790179533122855,0.0625,0.375,0.2427941546028043,0.3652286058590736,"Nate Eaton",25055,681987
"Evan Carter","TEX",22,0.312201234303653,7.812795146446845,0.05882353,0.34640523,0.24591473451594717,0.36522757146776336,"Evan Carter",27790,694497
"Myles Straw","TOR",30,0.2947099473741319,6.881379629329446,0.03930131,0.27074236,0.2520272187079383,0.3652118297105425,"Myles Straw",17620,664702
"Jacob Wilson","ATH",23,0.3042099323678524,2.9386426173870293,0.02222222,0.24666667,0.27727803927277433,0.36430330454192544,"Jacob Wilson",33266,805779
"Ernie Clement","TOR",29,0.29249311852331605,4.395468561062605,0.02419355,0.26008065,0.2633100677939022,0.36351921979118795,"Ernie Clement",20352,676391
"Ryan McMahon","NYY",30,0.30319807722761827,2.9735767877156034,0.1010101,0.50505051,0.21265159462982752,0.3630346622107164,"Ryan McMahon",15112,641857
"Coby Mayo","BAL",23,0.287138481662698,3.269629354035442,0.10055866,0.3575419,0.20246202891109555,0.36273612684875955,"Coby Mayo",28312,691723
"Alex Jackson","BAL",29,0.26964153289794923,2.64285714,0.14814815,0.40740741,0.177550053858495,0.36243484832428313,"Alex Jackson",17276,656577
"Sam Haggerty","TEX",31,0.30386419350144556,8.691295372134697,0.02362205,0.41732283,0.24872336387634278,0.3623273611068726,"Sam Haggerty",18054,664059
"Travis d'Arnaud","LAA",36,0.27081772775361035,0.7933673400000001,0.11428571,0.37857143,0.19436770873450337,0.3622936195051166,"Travis d'Arnaud",7739,518595
"Andrés Giménez","TOR",26,0.30762016838365563,5.748637684845221,0.02996255,0.27715356,0.25172039346957426,0.3607295558357822,"Andres Gimenez",19950,665926
"Joshua Palacios","CHW",29,0.2985540536733774,0.9464285649999999,0.08602151,0.39784946,0.2224407196044922,0.35908985888864114,"Joshua Palacios",19818,641943
